,Code,Title,Session,Details
138,CSC318H1-S,The Design of Interactive Computational Media,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Monday 18:00 — 20:00
Wednesday 18:00 — 20:00
Friday 18:00 — 20:00
MC 102
PB B250
MC 102
Chevalier, F.
Truong, K.
37 of 100 available Yes: 0 student
Enrolment Controls: Priority (P)"
139,CSC320H1-F,Introduction to Visual Computing,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Wednesday 18:00 — 20:00
Wednesday 20:00 — 21:00
BA 1180
BA 1180
Ma, Y.
62 of 100 available Yes: 0 student
Enrolment Controls: Priority (P)"
140,CSC320H1-S,Introduction to Visual Computing,LEC2501,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2501
Wednesday 18:00 — 20:00
Wednesday 20:00 — 21:00
BA 1170
BA 1170
Ma, Y.
0 of 4 available Yes: 0 student
Enrolment Controls: Restricted (R1)"
141,CSC320H1-S,Introduction to Visual Computing,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Wednesday 18:00 — 20:00
Wednesday 20:00 — 21:00
BA 1170
BA 1170
Ma, Y.
0 of 96 available Yes: 29 students
Enrolment Controls: Priority (P)"
142,CSC324H1-F,Principles of Programming Languages,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 10:00 — 11:00
Wednesday 10:00 — 11:00
Friday 10:00 — 11:00
GB 248
GB 248
GB 248
Liu, D.
30 of 100 available Yes: 0 student
Enrolment Controls: Priority (P)"
143,CSC324H1-F,Principles of Programming Languages,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 11:00 — 12:00
Wednesday 11:00 — 12:00
Friday 11:00 — 12:00
GB 244
GB 244
GB 244
Liu, D.
32 of 100 available Yes: 0 student
Enrolment Controls: Priority (P)"
144,CSC324H1-S,Principles of Programming Languages,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Tuesday 18:00 — 19:00
Tuesday 19:00 — 21:00
MC 254
MC 254
Baumgartner, G.
0 of 100 available Yes: 37 students Day Change: July 18, 2019
Enrolment Controls: Priority (P)"
145,CSC336H1-F,Numerical Methods,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Thursday 18:00 — 20:00
Thursday 20:00 — 21:00
BA 1170
BA 1170
Jackson, K.
35 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
146,CSC336H1-S,Numerical Methods,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 13:00 — 15:00
Thursday 13:00 — 14:00
GB 244
—
Christara, C.
5 of 120 available Yes: 0 student
Enrolment Controls: Priority (P)"
147,CSC343H1-F,Introduction to Databases,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Tuesday 15:00 — 18:00
MY 150
Horton, D.
119 of 365 available Yes: 0 student
Enrolment Controls: Priority (P)"
